id_orig_h,id_resp_h,count
10.1.4.10,255.255.255.255,1
10.1.2.93,10.1.2.255,1
10.1.1.189,91.189.89.198,1
10.1.1.23,255.255.255.255,1
10.1.1.189,255.255.255.255,1
fe80::f8b1:caff:fed0:22,ff02::2,1
10.1.1.189,216.58.202.196,1
::,ff02::16,1
10.1.1.189,216.58.202.206,1
10.1.1.189,91.189.91.157,1
255.255.255.255,200.18.42.4,1
10.1.2.23,255.255.255.255,1
10.1.1.189,172.217.29.170,1
10.1.2.57,239.255.255.250,1
fe80::204:23ff:fedd:b162,ff02::2,1
fe80::f8b1:caff:fed0:ed19,ff02::2,1
fe80::1ec1:deff:fe2a:e497,ff02::16,1
fe80::459a:401e:bbc2:d0f4,ff02::1:2,1
::,ff02::1:ff0c:83a3,1
10.1.1.29,10.1.1.255,1
fe80::3662:88ff:fe7f:821d,ff02::1:2,1
10.1.3.11,255.255.255.255,1
10.1.1.189,200.18.42.4,1
10.1.1.189,216.58.202.195,1
fe80::4e26:a79a:382a:9a5e,ff02::2,1
fe80::1ca6:ec9c:3609:f48c,ff02::1:2,1
10.1.2.53,239.255.255.250,1
10.1.1.189,64.233.186.188,1
::,ff02::1:ff2a:9a5e,1
fe80::4e26:a79a:382a:9a5e,ff02::16,1
10.1.1.189,172.217.29.206,1
10.0.1.19,239.255.255.250,1
10.1.1.189,216.58.202.174,1
10.1.1.75,239.255.255.250,1
10.1.1.189,172.217.30.110,1
10.1.1.189,200.129.233.12,1
fe80::d94e:1ac5:a80c:83a3,ff02::2,1
10.1.1.189,216.58.202.3,1
10.1.1.75,74.217.253.61,1
169.254.231.208,239.255.255.250,1
10.1.2.88,239.255.255.250,1
fe80::e117:c680:c494:5484,ff02::16,1
10.1.4.60,255.255.255.255,1
10.1.1.189,91.189.89.199,1
0.0.0.0,255.255.255.255,1
fe80::d94e:1ac5:a80c:83a3,ff02::16,1
10.1.1.189,91.189.94.4,1
10.1.1.75,74.217.253.60,1
10.0.1.39,224.0.0.251,2
200.18.42.99,239.255.255.250,2
10.1.2.46,239.255.255.250,2
10.1.2.57,224.0.0.251,2
fe80::1ec1:deff:fe2a:311,ff02::fb,2
10.1.2.44,239.255.255.250,2
fe80::1439:fef1:6ab7:c90c,ff02::fb,2
10.1.2.51,224.0.0.251,2
10.0.1.38,224.0.0.251,2
10.0.1.14,239.255.255.250,2
fe80::6119:7da0:b414:7040,ff02::fb,2
10.0.1.14,224.0.0.251,2
169.254.253.108,239.255.255.250,2
fe80::c3a:206a:fd45:c793,ff02::fb,2
10.1.1.171,224.0.0.251,2
10.1.1.118,239.255.255.250,2
fe80::202:e3ff:fe31:61af,ff02::fb,2
10.1.2.92,239.255.255.250,2
fe80::1ec1:deff:fe2a:9332,ff02::fb,2
fe80::e117:c680:c494:5484,ff02::fb,2
200.18.42.61,239.255.255.250,2
fe80::426c:8fff:fe0d:79bc,ff02::16,2
fe80::1aa9:9bff:feff:2179,ff02::fb,2
fe80::204:23ff:fedd:b163,ff02::2,2
10.1.1.178,239.255.255.250,2
10.1.1.189,216.58.202.67,2
10.1.4.36,224.0.0.251,2
fe80::b73b:ba5c:151e:258b,ff02::fb,2
fe80::eed5:5227:9b0c:5ee7,ff02::fb,2
10.0.1.44,224.0.0.251,2
10.1.2.93,239.255.255.250,2
10.1.2.92,255.255.255.255,3
10.1.1.10,239.255.255.250,3
10.1.1.189,224.0.0.251,3
200.18.42.35,239.255.255.250,3
10.1.1.75,216.58.202.98,3
10.1.1.171,239.255.255.250,3
10.1.1.75,45.55.120.93,3
10.1.1.75,208.100.17.190,3
10.1.1.75,200.18.42.4,3
10.1.1.75,67.202.94.93,3
10.1.1.189,239.255.255.250,3
10.1.1.75,52.31.61.9,3
10.1.1.189,64.233.190.188,3
192.168.0.100,224.0.0.251,4
fe80::439:568b:93ec:d4fa,ff02::fb,4
fe80::b699:baff:fe63:2037,ff02::fb,4
10.1.1.163,239.255.255.250,4
10.1.1.178,10.1.1.255,4
fe80::10ea:6daf:3a0:b223,ff02::fb,4
10.1.2.93,224.0.0.251,4
10.1.1.75,208.100.17.182,4
10.1.1.29,239.255.255.250,4
200.18.42.43,239.255.255.250,4
10.1.1.62,224.0.0.251,4
10.1.1.75,54.152.85.47,4
10.1.2.76,224.0.0.251,4
10.1.4.60,239.255.255.250,5
10.1.1.163,224.0.0.251,5
fe80::b699:baff:fe63:2037,ff02::1:2,5
10.1.1.22,239.255.255.250,5
fe80::4e26:a79a:382a:9a5e,ff02::fb,5
10.1.4.36,239.255.255.250,5
fe80::9284:dff:fee8:7aa2,ff02::fb,6
10.1.2.88,224.0.0.251,6
10.0.0.11,255.255.255.255,6
fe80::855:2e0d:b2b5:a871,ff02::fb,6
fe80::73f:3214:a7c6:61fa,ff02::fb,8
200.18.42.40,224.0.0.251,8
10.1.2.51,239.255.255.250,9
10.1.1.75,200.18.42.3,10
192.168.1.254,224.0.0.251,10
10.1.2.53,224.0.0.251,12
10.0.1.5,239.255.255.250,12
10.1.2.97,239.255.255.250,12
10.1.2.44,224.0.0.252,13
10.1.1.189,200.18.42.3,14
10.1.4.10,224.0.0.251,14
fe80::e2:65b:65ca:a3ce,ff02::fb,18
10.1.4.60,224.0.0.251,24
10.0.1.5,10.0.3.255,36
10.1.2.97,10.1.2.255,36
10.1.2.46,224.0.0.251,42
fe80::426c:8fff:fe0d:79bc,ff02::fb,43
